feature,label,boundary
./dataset/gtea/features/S2_Cheese_C1.npy,./dataset/gtea/gt_arr/S2_Cheese_C1.npy,./dataset/gtea/gt_boundary_arr/S2_Cheese_C1.npy
./dataset/gtea/features/S2_CofHoney_C1.npy,./dataset/gtea/gt_arr/S2_CofHoney_C1.npy,./dataset/gtea/gt_boundary_arr/S2_CofHoney_C1.npy
./dataset/gtea/features/S2_Coffee_C1.npy,./dataset/gtea/gt_arr/S2_Coffee_C1.npy,./dataset/gtea/gt_boundary_arr/S2_Coffee_C1.npy
./dataset/gtea/features/S2_Hotdog_C1.npy,./dataset/gtea/gt_arr/S2_Hotdog_C1.npy,./dataset/gtea/gt_boundary_arr/S2_Hotdog_C1.npy
./dataset/gtea/features/S2_Pealate_C1.npy,./dataset/gtea/gt_arr/S2_Pealate_C1.npy,./dataset/gtea/gt_boundary_arr/S2_Pealate_C1.npy
./dataset/gtea/features/S2_Peanut_C1.npy,./dataset/gtea/gt_arr/S2_Peanut_C1.npy,./dataset/gtea/gt_boundary_arr/S2_Peanut_C1.npy
./dataset/gtea/features/S2_Tea_C1.npy,./dataset/gtea/gt_arr/S2_Tea_C1.npy,./dataset/gtea/gt_boundary_arr/S2_Tea_C1.npy
./dataset/gtea/features/S3_Cheese_C1.npy,./dataset/gtea/gt_arr/S3_Cheese_C1.npy,./dataset/gtea/gt_boundary_arr/S3_Cheese_C1.npy
./dataset/gtea/features/S3_CofHoney_C1.npy,./dataset/gtea/gt_arr/S3_CofHoney_C1.npy,./dataset/gtea/gt_boundary_arr/S3_CofHoney_C1.npy
./dataset/gtea/features/S3_Hotdog_C1.npy,./dataset/gtea/gt_arr/S3_Hotdog_C1.npy,./dataset/gtea/gt_boundary_arr/S3_Hotdog_C1.npy
./dataset/gtea/features/S3_Pealate_C1.npy,./dataset/gtea/gt_arr/S3_Pealate_C1.npy,./dataset/gtea/gt_boundary_arr/S3_Pealate_C1.npy
./dataset/gtea/features/S3_Peanut_C1.npy,./dataset/gtea/gt_arr/S3_Peanut_C1.npy,./dataset/gtea/gt_boundary_arr/S3_Peanut_C1.npy
./dataset/gtea/features/S3_Tea_C1.npy,./dataset/gtea/gt_arr/S3_Tea_C1.npy,./dataset/gtea/gt_boundary_arr/S3_Tea_C1.npy
./dataset/gtea/features/S4_Cheese_C1.npy,./dataset/gtea/gt_arr/S4_Cheese_C1.npy,./dataset/gtea/gt_boundary_arr/S4_Cheese_C1.npy
./dataset/gtea/features/S4_CofHoney_C1.npy,./dataset/gtea/gt_arr/S4_CofHoney_C1.npy,./dataset/gtea/gt_boundary_arr/S4_CofHoney_C1.npy
./dataset/gtea/features/S4_Coffee_C1.npy,./dataset/gtea/gt_arr/S4_Coffee_C1.npy,./dataset/gtea/gt_boundary_arr/S4_Coffee_C1.npy
./dataset/gtea/features/S4_Hotdog_C1.npy,./dataset/gtea/gt_arr/S4_Hotdog_C1.npy,./dataset/gtea/gt_boundary_arr/S4_Hotdog_C1.npy
./dataset/gtea/features/S4_Pealate_C1.npy,./dataset/gtea/gt_arr/S4_Pealate_C1.npy,./dataset/gtea/gt_boundary_arr/S4_Pealate_C1.npy
./dataset/gtea/features/S4_Tea_C1.npy,./dataset/gtea/gt_arr/S4_Tea_C1.npy,./dataset/gtea/gt_boundary_arr/S4_Tea_C1.npy
